Store	Name	Store Status	Address	City	State	Zip Code	Store Address	Report Date
6063	Casey's General Store #2406 / Pleasant Hill	A	1125 N Hickory Blvd	Pleasant Hill	IA	50327	POINT (-93.517037 41.600063000000006)	10/01/2021
6178	Hy-Vee Dollar Fresh / Maquoketa	A	102 W Carlisle	Maquoketa	IA	52060		10/01/2021
5665	New Star / Fort Dodge	A	704 Avenue C	Fort Dodge	IA	50501	POINT (-94.196625 42.497609)	10/01/2021
4997	Downtown Pantry	A	218, 6th Ave #101	Des Moines	IA	50309	POINT (-93.62452 41.585651)	10/01/2021
5890	Westside Houser Mart / Muscatine	A	2201 Houser St	Muscatine	IA	52761	POINT (-91.079296 41.436426)	10/01/2021
5561	Casey's General Store #32 / Madrid	A	117 N Kennedy Ave	Madrid	IA	50156	POINT (-93.815677 41.877618)	10/01/2021
3890	Smokin' Joe's #7 Tobacco and Liquor Outlet	A	904  1st Ave NW	Cedar Rapids	IA	52405	POINT (-91.683669 41.972773)	10/01/2021
4731	Walgreens #05060 / Clive	A	12753 University Ave	Clive	IA	50325	POINT (-93.793613 41.600487)	10/01/2021
5010	Sac City Food Pride	A	106 S 16th St	Sac City	IA	50583	POINT (-95.002637 42.422404)	10/01/2021
4150	Fareway Stores #951 / Waterloo	A	40  W San Marnan	Waterloo	IA	50701		10/01/2021
4944	Jiffy Express / Martensdale	A	290, Hwy 28	Martensdale	IA	50160	POINT (-93.737459 41.373366)	10/01/2021
6122	Neighborhood Tobacco Outlet II / Cedar Rapids	A	1601 6th St SW	Cedar Rapids	IA	52404	POINT (-91.677082 41.961547)	10/01/2021
4235	Fareway Stores #395 / Webster City	A	942  2nd St	Webster City	IA	50595	POINT (-93.827718 42.469488)	10/01/2021
4487	Casey's General Store #2787 / Cedar Rapids	A	1661 32nd St NE	Cedar Rapids	IA	52402	POINT (-91.662119 42.010447)	10/01/2021
5736	218 Fuel Express	A	68 Monroe Street	Floyd	IA	50435	POINT (-92.73738 43.122076)	10/01/2021
4760	Walgreens #07455 / Waterloo	A	111 W Ridgeway Ave	Waterloo	IA	50701	POINT (-92.357476 42.469401)	10/01/2021
6023	Valley West Corner Store / WDM	A	1400 Valley West Dr	West Des Moines	IA	50266	POINT (-93.751964 41.594084)	10/01/2021
5930	East Post Rd BP	I	1010 East Post Rd	Marion	IA	52302	POINT (-91.598254 42.02018)	10/01/2021
5406	Casey's General Store # 2918/ Coralville	A	2798 Commerce Dr.	Coralville	IA	52241	POINT (-91.610515 41.695834)	10/01/2021
5214	Fas Mart #5148 / Cedar Rapids	A	550 Wilson Ave SW	Cedar Rapids	IA	52404	POINT (-91.676432 41.956073)	10/01/2021
2614	Hy-Vee #3 Food & Drugstore / Davenport	A	1823 E Kimberly Rd	Davenport	IA	52807	POINT (-90.548919 41.55678100000001)	10/01/2021
5917	Urbandale Liquor	A	6401 Douglas Ave STE 1	Urbandale	IA	50322	POINT (-93.705732 41.629411)	10/01/2021
4392	KUM & GO #156 / Clive	I	15600 Hickman Rd	Clive	IA	50325	POINT (-93.83421800000002 41.614732)	10/01/2021
4448	Kum & Go #572 / URBANDALE	A	4860 NW Urbandale Dr	Urbandale	IA	50322	POINT (-93.769429 41.646391)	10/01/2021
5098	Best Food Mart 3  LLC	A	1621 University Ave	Des Moines	IA	50311	POINT (-93.63996000000002 41.600477)	10/01/2021
5693	Hull Food Center / Hull	I	1023 Black Forest Rd.	Hull	IA	51239	POINT (-96.132644 43.185778)	10/01/2021
2838	CVS Pharmacy #8658 / Davenport	A	1655 W Kimberly Rd	Davenport	IA	52806	POINT (-90.600088 41.559969)	10/01/2021
3582	Korthouse Liquor	I	107 1st St E	Leon	IA	50144	POINT (-93.746447 40.739507)	10/01/2021
6044	Casey's General Store #2297 / WDM	A	108 8th St	West Des Moines	IA	50265	POINT (-93.713067 41.570164)	10/01/2021
4837	Kum & Go #51 / Iowa City	A	323 E Burlington St	Iowa City	IA	52240	POINT (-91.530633 41.657837)	10/01/2021
5331	Casey's General Store # 1536/ George	A	301 E Michigan Ave	George	IA	51237	POINT (-95.998 43.343639)	10/01/2021
6197	Mount Pleasant Food & Liquor / Mt Pleasant	A	309 W. Washington St.	Mt Pleasant	IA	52641	POINT (-91.557126 40.965832)	10/01/2021
6212	Hampton Crossroads / Hampton	A	4 4th Street Southeast	Hampton	IA	50441	POINT (-93.202491 42.741445)	10/01/2021
5874	Kwik Stop Food Mart / Dubuque	A	4039 Pennsylvania Ave	Dubuque	IA	52001	POINT (-90.743058 42.500627)	10/01/2021
5252	Freeman Foods of North English	A	119, Main St	North English	IA	52316	POINT (-92.166582 41.575084)	10/01/2021
5619	Casey's General Store #3041 / Elk Run Heights	A	5202 Lafayette Rd	Evansdale	IA	50707	POINT (-92.257902 42.469069)	10/01/2021
5429	Pronto Market/ Garwin	A	501 Front St.	Garwin	IA	50632	POINT (-92.678397 42.093297)	10/01/2021
4748	Walgreens #06186 / Davenport	A	4011 E 53rd St	Davenport	IA	52807	POINT (-90.514255 41.574851)	10/01/2021
